POSTALCODE,ONS_ID,weight
K0A1B0,3075,1
K0A1E0,3101,1
K0A1K0,3039,1
K0A1L0,3062,0.023246660923591046
K0A1L0,3021,0.4954145779752823
K0A1L0,3033,0.46858648117000823
K0A1L0,3108,0.012752279931118438
K0A1T0,3038,1
K0A1V0,3039,1
K0A1X0,3046,1
K0A2E0,3078,0.8559041069137556
K0A2E0,3070,0.1440958930862443
K0A2G0,3073,1
K0A2H0,3062,1
K0A2P0,3011,1.28125269231979e-4
K0A2P0,3049,5.686956724567287e-4
K0A2P0,3086,0.004984075070314298
K0A2P0,3044,0.014247728374708288
K0A2P0,3073,0.9800713756132886
K0A2T0,3071,0.3894741378394864
K0A2T0,3078,0.6105258621605135
K0A2W0,3086,1
K0A2Y0,3010,1
K0A2Z0,3075,0.110002475970266
K0A2Z0,3074,0.878393394189923
K0A2Z0,3027,0.0011076564102025788
K0A2Z0,3109,0.010496473429608383
K0A3E0,3076,0.9271865045747283
K0A3E0,3037,0.0728134954252717
K0A3H0,3113,1
K0A3J0,3086,1
K0A3M0,3038,0.025368173543975338
K0A3M0,3031,0.573928740928289
K0A3M0,3046,0.4007030855277357
K0A3P0,3075,1
K0G1B0,3071,1
K0G1J0,3071,2.464230752258846e-4
K0G1J0,3078,0.6126457731184999
K0G1J0,3086,0.38710780380627424
K1A0R6,3022,1
K1B0A4,3089,1
K1B0A5,3089,1
K1B0A6,3089,1
K1B0A7,3089,1
K1B1A1,3010,1
K1B1A2,3010,1
K1B1B4,3089,1
K1B1B7,3010,1
K1B1B9,3089,1
K1B1C2,3010,1
K1B1C3,3010,1
K1B1C6,3089,1
K1B1C7,3089,1
K1B1C8,3089,1
K1B1E1,3089,1
K1B1E2,3010,1
K1B3A1,3010,0.9040102180538627
K1B3A1,3050,0.09598978194613723
K1B3A2,3010,0.8095120353362302
K1B3A2,3050,0.1904879646637698
K1B3A3,3010,1
K1B3A4,3010,1
K1B3A5,3010,1
K1B3A6,3010,1
K1B3A7,3010,1
K1B3A8,3010,1
K1B3A9,3010,1
K1B3B1,3010,1
K1B3B2,3010,1
K1B3B3,3010,1
K1B3B4,3010,1
K1B3B5,3010,1
K1B3B6,3010,1
K1B3B7,3010,1
K1B3B8,3010,1
K1B3B9,3010,1
K1B3C1,3010,1
K1B3C2,3010,1
K1B3C3,3010,1
K1B3C4,3010,1
K1B3C5,3010,1
K1B3C6,3010,1
K1B3C7,3010,1
K1B3C8,3010,1
K1B3C9,3010,1
K1B3E1,3010,1
K1B3E2,3010,1
K1B3E3,3010,1
K1B3E4,3010,1
K1B3E5,3010,1
K1B3E6,3010,1
K1B3E7,3010,1
K1B3E8,3010,1
K1B3E9,3010,1
K1B3G1,3010,1
K1B3G2,3010,1
K1B3G3,3010,1
K1B3G4,3010,1
K1B3G5,3010,1
K1B3G6,3010,1
K1B3G7,3010,1
K1B3G8,3010,1
K1B3G9,3010,1
K1B3H1,3010,1
K1B3H2,3010,1
K1B3H3,3010,1
K1B3H4,3010,1
K1B3H5,3010,1
K1B3H6,3010,1
K1B3H7,3010,1
K1B3H8,3010,1
K1B3H9,3010,1
K1B3J1,3010,1
K1B3J2,3010,1
K1B3J3,3010,1
K1B3J4,3010,1
K1B3J5,3010,1
K1B3J6,3010,1
K1B3J7,3010,1
K1B3J8,3010,1
K1B3J9,3010,1
K1B3K1,3010,1
K1B3K2,3010,1
K1B3K3,3010,0.9481402903271747
K1B3K3,3050,0.05185970967282532
K1B3K7,3089,1
K1B3K9,3089,1
K1B3L1,3089,1
K1B3L2,3089,1
K1B3L3,3089,1
K1B3L4,3089,1
K1B3L5,3089,1
K1B3L6,3089,1
K1B3L7,3089,1
K1B3M1,3101,1
K1B3M2,3101,1
K1B3M8,3101,1
K1B3N5,3101,1
K1B3N6,3101,1
K1B3N7,3101,1
K1B3N8,3101,1
K1B3N9,3101,1
K1B3P1,3101,1
K1B3P2,3101,1
K1B3P3,3101,1
K1B3P4,3101,1
K1B3P5,3101,1
K1B3P6,3101,1
K1B3P7,3101,1
K1B3P8,3101,1
K1B3P9,3101,1
K1B3R1,3101,1
K1B3R2,3101,1
K1B3R3,3101,1
K1B3R7,3010,1
K1B3R8,3010,1
K1B3R9,3089,1
K1B3W9,3054,1
K1B3X1,3089,1
K1B3X2,3089,1
K1B3X3,3089,1
K1B3X4,3089,1
K1B3X5,3089,1
K1B3X6,3089,1
K1B3X7,3089,1
K1B3X8,3010,1
K1B3X9,3010,1
K1B3Y1,3010,1
K1B3Y2,3010,1
K1B3Y3,3010,1
K1B3Y4,3010,1
K1B3Y5,3010,1
K1B3Y6,3010,1
K1B3Y7,3010,1
K1B3Y8,3010,1
K1B3Y9,3010,1
K1B3Z1,3010,1
K1B3Z2,3010,1
K1B3Z3,3010,1
K1B3Z4,3010,1
K1B3Z5,3010,1
K1B3Z6,3010,1
K1B3Z7,3010,1
K1B3Z8,3010,1
K1B3Z9,3010,1
K1B4A1,3010,1
K1B4A2,3010,1
K1B4A3,3010,1
K1B4A4,3010,1
K1B4A5,3010,1
K1B4A6,3010,1
K1B4A7,3010,0.9999813659146827
K1B4A7,3050,1.8634085317320108e-5
K1B4A8,3010,1
K1B4A9,3010,1
K1B4B1,3010,1
K1B4B2,3010,1
K1B4B3,3010,1
K1B4B4,3010,1
K1B4B5,3010,1
K1B4B6,3010,1
K1B4B7,3010,1
K1B4B8,3010,1
K1B4B9,3010,1
K1B4C1,3010,1
K1B4C2,3010,1
K1B4C3,3010,1
K1B4C5,3010,1
K1B4C6,3089,1
K1B4C7,3010,1
K1B4C8,3010,1
K1B4C9,3010,1
K1B4E1,3010,1
K1B4E2,3010,1
K1B4E3,3089,1
K1B4E6,3089,1
K1B4E7,3089,1
K1B4E8,3010,1
K1B4E9,3010,1
K1B4G1,3010,1
K1B4G2,3010,1
K1B4G3,3010,1
K1B4G4,3010,1
K1B4G5,3010,1
K1B4G6,3089,1
K1B4G7,3089,1
K1B4G8,3089,1
K1B4G9,3089,1
K1B4H1,3089,1
K1B4H2,3054,1
K1B4H3,3054,1
K1B4H4,3054,1
K1B4H5,3054,1
K1B4H6,3054,1
K1B4H7,3054,1
K1B4H8,3054,1
K1B4H9,3054,1
K1B4J1,3054,1
K1B4J2,3054,1
K1B4J3,3054,1
K1B4J4,3054,1
K1B4J5,3054,1
K1B4J6,3054,1
K1B4J7,3054,1
K1B4J8,3054,1
K1B4J9,3054,1
K1B4K1,3054,1
K1B4K2,3054,1
K1B4K3,3010,1
K1B4K4,3010,1
K1B4K5,3010,0.999560494857921
K1B4K5,3050,4.395051420790418e-4
K1B4K6,3089,1
K1B4K7,3089,1
K1B4K8,3089,1
K1B4L3,3010,1
K1B4L4,3010,1
K1B4L7,3054,1
K1B4L8,3054,1
K1B4L9,3054,1
K1B4M1,3010,1
K1B4M2,3010,1
K1B4M3,3010,1
K1B4M4,3010,1
K1B4M5,3010,1
K1B4M6,3010,1
K1B4M7,3010,1
K1B4M8,3010,1
K1B4M9,3010,1
K1B4N1,3010,1
K1B4N2,3010,1
K1B4N3,3010,0.9999880799352586
K1B4N3,3050,1.1920064741485557e-5
K1B4N5,3010,1
K1B4N6,3010,1
K1B4N7,3089,1
K1B4N8,3089,1
K1B4N9,3089,1
K1B4P1,3089,1
K1B4P2,3089,1
K1B4P3,3089,1
K1B4P4,3089,1
K1B4P5,3089,1
K1B4P6,3089,1
K1B4P7,3089,1
K1B4P8,3089,1
K1B4P9,3089,1
K1B4R1,3089,1
K1B4R2,3089,1
K1B4R3,3089,1
K1B4R4,3089,1
K1B4R5,3089,1
K1B4R6,3089,1
K1B4R7,3089,1
K1B4R8,3089,1
K1B4R9,3089,1
K1B4S2,3089,1
K1B4S8,3054,1
K1B4S9,3054,1
K1B4T1,3089,1
K1B4T2,3089,1
K1B4T6,3010,1
K1B4T8,3054,1
K1B4T9,3054,1
K1B4V1,3054,1
K1B4V2,3054,1
K1B4V3,3010,1
K1B4V4,3089,1
K1B4V6,3010,1
K1B4V9,3010,1
K1B4W1,3010,1
K1B4W2,3010,1
K1B4W3,3010,1
K1B4W6,3089,1
K1B4W7,3089,1
K1B4W9,3010,1
K1B4X4,3010,1
K1B4X5,3010,1
K1B4X6,3010,1
K1B4X7,3010,1
K1B4X9,3010,1
K1B4Y1,3010,1
K1B4Y2,3010,1
K1B4Y3,3010,1
K1B4Y4,3010,1
K1B4Y5,3010,1
K1B4Y6,3010,1
K1B4Y7,3010,1
K1B4Y8,3010,1
K1B4Y9,3089,1
K1B4Z1,3089,1
K1B4Z2,3089,1
K1B4Z3,3010,0.023400654256984427
K1B4Z3,3050,0.9765993457430155
K1B4Z5,3010,1
K1B4Z6,3010,1
K1B4Z7,3010,1
K1B4Z8,3010,1
K1B4Z9,3089,1
K1B5A1,3089,1
K1B5A2,3089,1
K1B5A3,3010,1
K1B5A5,3010,1
K1B5A8,3010,1
K1B5A9,3010,1
K1B5B1,3010,1
K1B5B2,3010,1
K1B5B3,3010,1
K1B5B4,3054,1
K1B5B5,3054,1
K1B5B6,3054,1
K1B5B7,3054,1
K1B5B8,3010,1
K1B5C1,3089,1
K1B5C2,3089,1
K1B5C3,3089,1
K1B5C5,3089,1
K1B5C6,3089,1
K1B5C7,3089,1
K1B5C8,3089,1
K1B5C9,3089,1
K1B5E1,3089,1
K1B5E2,3089,1
K1B5E3,3089,1
K1B5E4,3089,1
K1B5E5,3089,1
K1B5E6,3089,1
K1B5E7,3089,1
K1B5E8,3089,1
K1B5E9,3089,1
K1B5G1,3089,1
K1B5G2,3089,1
K1B5G3,3089,1
K1B5G4,3089,1
K1B5G5,3089,1
K1B5G6,3089,1
K1B5G7,3089,1
K1B5G8,3089,1
K1B5G9,3089,1
K1B5H1,3089,1
K1B5H2,3089,1
K1B5H3,3089,1
K1B5H4,3089,1
K1B5H5,3089,1
K1B5H6,3089,1
K1B5H7,3089,1
K1B5H8,3089,1
K1B5H9,3089,1
K1B5J1,3089,1
K1B5J2,3089,1
K1B5J3,3089,1
K1B5J4,3089,1
K1B5J5,3089,1
K1B5J6,3089,1
K1B5J7,3089,1
K1B5J8,3089,1
K1B5J9,3089,1
K1B5K1,3089,1
K1B5K2,3054,1
K1B5K3,3089,1
K1B5K4,3089,1
