POSTALCODE,ONS_ID,weight
K0A1B0,67,1
K0A1E0,919,1
K0A1K0,918,1
K0A1L0,951,0.013868028122506397
K0A1L0,30,0.46858648117000823
K0A1L0,911,0.5175454907074853
K0A1T0,35,1
K0A1V0,918,1
K0A1X0,922,1
K0A2E0,70,0.8558699007227375
K0A2E0,64,0.1441300992772626
K0A2G0,66,1
K0A2H0,930,0.22725660952069565
K0A2H0,911,0.7727433904793043
K0A2P0,52,1.28125269231979e-4
K0A2P0,66,0.9850554506836029
K0A2P0,925,5.686956724567287e-4
K0A2P0,921,0.014247728374708288
K0A2T0,85,0.3894741378394864
K0A2T0,70,0.6105258621605135
K0A2W0,81,1
K0A2Y0,904,1
K0A2Z0,952,0.001194792162601029
K0A2Z0,944,0.8783933941899273
K0A2Z0,67,0.11000247597026654
K0A2Z0,64,0.010287157337380694
K0A2Z0,914,1.2218033982439304e-4
K0A3E0,936,1
K0A3H0,955,1
K0A3J0,81,1
K0A3M0,922,0.24300274816458034
K0A3M0,29,0.5730877087333887
K0A3M0,930,0.15853295181869342
K0A3M0,35,0.025376591283337552
K0A3P0,67,1
K0G1B0,85,1
K0G1J0,85,4.026323900692095e-4
K0G1J0,70,0.9995973676099308
K1A0R6,912,1
K1B0A4,86,1
K1B0A5,86,1
K1B0A6,86,1
K1B0A7,86,1
K1B1A1,904,1
K1B1A2,904,1
K1B1B4,86,1
K1B1B7,904,0.9562000933845917
K1B1B7,926,0.04379990661540834
K1B1B9,86,1
K1B1C2,904,1
K1B1C3,904,1
K1B1C6,86,1
K1B1C7,86,1
K1B1C8,86,1
K1B1E1,86,1
K1B1E2,904,1
K1B3A1,904,0.9968482547323997
K1B3A1,926,0.0031517452676003343
K1B3A2,904,0.7407942295536596
K1B3A2,926,0.2592057704463404
K1B3A3,904,1
K1B3A4,904,1
K1B3A5,904,1
K1B3A6,904,1
K1B3A7,904,1
K1B3A8,904,1
K1B3A9,904,1
K1B3B1,904,1
K1B3B2,904,1
K1B3B3,904,1
K1B3B4,904,1
K1B3B5,904,1
K1B3B6,904,1
K1B3B7,904,1
K1B3B8,904,1
K1B3B9,904,1
K1B3C1,904,1
K1B3C2,904,1
K1B3C3,904,1
K1B3C4,904,1
K1B3C5,904,1
K1B3C6,904,1
K1B3C7,904,1
K1B3C8,904,1
K1B3C9,904,1
K1B3E1,904,1
K1B3E2,904,1
K1B3E3,904,1
K1B3E4,904,1
K1B3E5,904,1
K1B3E6,904,1
K1B3E7,904,1
K1B3E8,904,1
K1B3E9,904,1
K1B3G1,904,1
K1B3G2,904,1
K1B3G3,904,1
K1B3G4,904,1
K1B3G5,904,1
K1B3G6,904,1
K1B3G7,904,1
K1B3G8,904,1
K1B3G9,904,1
K1B3H1,904,1
K1B3H2,904,1
K1B3H3,904,1
K1B3H4,904,1
K1B3H5,904,1
K1B3H6,904,1
K1B3H7,904,1
K1B3H8,904,1
K1B3H9,904,1
K1B3J1,904,1
K1B3J2,904,1
K1B3J3,904,1
K1B3J4,904,1
K1B3J5,904,1
K1B3J6,904,1
K1B3J7,904,1
K1B3J8,904,1
K1B3J9,904,1
K1B3K1,904,1
K1B3K2,904,1
K1B3K3,904,0.9986943674448914
K1B3K3,926,0.0013056325551086786
K1B3K7,86,1
K1B3K9,86,1
K1B3L1,86,1
K1B3L2,86,1
K1B3L3,86,1
K1B3L4,86,1
K1B3L5,86,1
K1B3L6,86,1
K1B3L7,86,1
K1B3M1,917,1
K1B3M2,917,1
K1B3M8,917,1
K1B3N5,917,1
K1B3N6,917,1
K1B3N7,917,1
K1B3N8,917,1
K1B3N9,917,1
K1B3P1,917,1
K1B3P2,917,1
K1B3P3,917,1
K1B3P4,917,1
K1B3P5,917,1
K1B3P6,917,1
K1B3P7,917,1
K1B3P8,917,1
K1B3P9,917,1
K1B3R1,917,1
K1B3R2,917,1
K1B3R3,917,1
K1B3R7,904,1
K1B3R8,904,1
K1B3R9,86,1
K1B3W9,46,1
K1B3X1,86,1
K1B3X2,86,1
K1B3X3,86,1
K1B3X4,86,1
K1B3X5,86,1
K1B3X6,86,1
K1B3X7,86,1
K1B3X8,904,1
K1B3X9,904,1
K1B3Y1,904,1
K1B3Y2,904,1
K1B3Y3,904,1
K1B3Y4,904,1
K1B3Y5,904,1
K1B3Y6,904,1
K1B3Y7,904,1
K1B3Y8,904,1
K1B3Y9,904,1
K1B3Z1,904,1
K1B3Z2,904,1
K1B3Z3,904,1
K1B3Z4,904,0.9437751802880591
K1B3Z4,926,0.05622481971194098
K1B3Z5,904,1
K1B3Z6,904,1
K1B3Z7,904,1
K1B3Z8,904,1
K1B3Z9,904,1
K1B4A1,904,1
K1B4A2,904,1
K1B4A3,904,1
K1B4A4,904,0.9977941210831968
K1B4A4,926,0.0022058789168031842
K1B4A5,904,1
K1B4A6,904,0.9986896480996839
K1B4A6,926,0.0013103519003160968
K1B4A7,904,0.999994969656293
K1B4A7,926,5.030343707000544e-6
K1B4A8,904,1
K1B4A9,904,1
K1B4B1,904,1
K1B4B2,904,1
K1B4B3,904,1
K1B4B4,904,1
K1B4B5,904,1
K1B4B6,904,1
K1B4B7,904,1
K1B4B8,904,1
K1B4B9,904,1
K1B4C1,904,1
K1B4C2,904,1
K1B4C3,904,1
K1B4C5,904,1
K1B4C6,86,1
